fuente_nombre,nombre,categoria,fecha_inicio,hora_inicio,fecha_termino,lugar,comuna,precio_min,link_evento
Passline,OSCAR ANDRADE - COME BACK (+18),,2026-08-29,21:00:00,,CLUB CHOCOLATE,Recoleta,10000,https://www.passline.com/eventos/oscar-andrade-come-back
Passline,CERATI & SODA - BANDA HOMENAJE PLAN C + DJ PATO FERNÁNDEZ (+18),,2026-08-29,21:00:00,,CLUB AMANDA,Vitacura,14000,https://www.passline.com/eventos/cerati-soda-banda-homenaje-plan-c-dj-pato-fernandez
Passline,glam metal fest (+18),,2026-08-29,21:00:00,,Sala RBX,Ñuñoa,5000,https://www.passline.com/eventos/glam-metal-fest
Passline,Noche de Rock - Matías Oviedo y su banda (+25),,2026-08-29,21:00:00,,Bar Club Palestino,Las Condes,15000,https://www.passline.com/eventos/noche-de-rock-matias-oviedo-y-su-banda
Passline,Evilive Tributo Misfits en Bar Clavero 46 Puente Alto (+18),,2026-08-29,21:00:00,,Bar Clavero 46,Puente Alto,5000,https://www.passline.com/eventos/evilive-tributo-misfits-en-bar-clavero-46-puente-alto
Passline,Recreo de Reinas (+25),,2026-08-29,21:00:00,,"Av. Bernardo O’Higgins 2900, Talagante",Talagante,10000,https://www.passline.com/eventos/recreo-de-reinas
Passline,JIRAFAS EN KLUB KROSS,,2026-08-29,21:30:00,,Kross Bar,Las Condes,7000,https://www.passline.com/eventos/jirafas-en-klub-kross-537679
Passline,TECHNOBUS - 29 AGOSTO (+18),,2026-08-29,21:30:00,,TECHNOBUS,Santiago,14000,https://www.passline.com/eventos/technobus-29-agosto
Passline,200 - REGGAETÓN CLASSICS - HOTEL W - SÁBADO 29 (+20),,2026-08-29,22:00:00,,Club Siete,Las Condes,10000,https://www.passline.com/eventos/200-reggaeton-classics-hotel-w-sabado-29
Passline,KISS & SHOOT - TEATRO ALICIA (+19),,2026-08-29,22:00:00,,Teatro Alicia,Lo Barnechea,10000,https://www.passline.com/eventos/kiss-shoot-teatro-alicia-548218
Passline,EL SHOW DE LUIS HACHEM EN SANTIAGO,,2026-08-29,22:00:00,,DISTRITO 04,San Miguel,12000,https://www.passline.com/eventos/el-show-de-luis-hachem-en-santiago
Passline,killahz b-day (+18),,2026-08-29,22:00:00,,Jammin' Club,Providencia,5000,https://www.passline.com/eventos/killahz-bday
Passline,CLUB 30 || SABADO 29 AGOSTO (+30),,2026-08-29,22:00:00,,Bosque Luz,Huechuraba,14000,https://www.passline.com/eventos/club-30-sabado-29-agosto
Passline,★ KISS & SHOOT presenta: #SoldOUTSeries | Teatro Alicia ★ Sábado 29 Agosto ★ (+19),,2026-08-29,22:00:00,,Teatro Alicia,Lo Barnechea,10000,https://www.passline.com/eventos/kiss-shoot-presenta-soldoutseries-teatro-alicia-sabado-29-agosto
Passline,LETS DANCE GIRLS NIGHT || TERRAZA ARRAYÁN || SÁBADO 29 AGOSTO,,2026-08-29,22:00:00,,Terraza Arrayan,Lo Barnechea,5000,https://www.passline.com/eventos/lets-dance-girls-night-terraza-arrayan-sabado-29-agosto
Passline,The Project X Volumen 4 | Centro Parque | Sábado 29 Agosto,,2026-08-29,22:00:00,,Centro parque,Las Condes,14000,https://www.passline.com/eventos/the-project-x-volumen-4-centro-parque-sabado-29-agosto
Passline,MIlano The Jungle (+18),,2026-08-29,22:30:00,,av manuel castillo 1201 Malloco,,5000,https://www.passline.com/eventos/milano-the-jungle
Passline,PAAX - LA FERIA CLUB (+18),,2026-08-29,23:00:00,,La Feria,Providencia,25000,https://www.passline.com/eventos/paax-la-feria-club
Passline,TOM HOUSE NEW WAVE · 80’S & 90’S (+18),,2026-08-29,23:00:00,,.,Recoleta,10000,https://www.passline.com/eventos/tom-house-new-wave-80s-90s
Passline,Goes To The Disco - 4 Pistas de Baile:_ (+18),,2026-08-29,23:30:00,,Blondie,Santiago,10000,https://www.passline.com/eventos/goes-to-the-disco-4-pistas-de-baile_
Passline,FIESTA: TA VIVO MALUCO CON LO MEJOR DEL AXÉ,,2026-08-29,23:30:00,,Porto Alegre Restaurant,Peñaflor,10000,https://www.passline.com/eventos/fiesta-ta-vivo-maluco-con-lo-mejor-del-axe
Passline,Mega Eleven + Perreito en Safari - Sabado 29 Agosto ! (+18),,2026-08-29,23:30:00,,Safari Club,Recoleta,10000,https://www.passline.com/eventos/mega-eleven-perreito-en-safari-sabado-29-agosto
Municipalidad de Las Condes (talleres),"Los Beatles, 60 años de Revolver",música,2026-08-30,,,Teatro Centro Cultural Las Condes,Las Condes,,https://www.lascondes.cl/vive-las-condes/panorama-mensual/
Passline,Shoxx vol2,,2026-08-30,03:00:00,,Sala RBX,Ñuñoa,7000,https://www.passline.com/eventos/shoxx-vol2
Passline,3D Printer Party 2026 Dia 2,,2026-08-30,10:00:00,,Omnium,Las Condes,7000,https://www.passline.com/eventos/3d-printer-party-2026-dia-2
Passline,Elencos CEINA en Concierto,,2026-08-30,12:00:00,,Centro Cultural Ceina,Santiago,,https://www.passline.com/eventos/elencos-ceina-en-concierto
Passline,Santiago Morning vs Provincial Ovalle,,2026-08-30,15:00:00,,Estadio Municipal de La Pintana,La Pintana,3000,https://www.passline.com/eventos/santiago-morning-vs-provincial-ovalle
