banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Entel,Yogen Früz,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/yogen-fruz.png,jueves,20% descuento en tienda,,2026-04-30,,Comida,https://www.entel.cl/beneficios/descuentos/yogen-fruz
Entel,Domino's Pizza,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/dominos-pizza-1.png,domingo,40% dcto. los domingos con el Club Entel,,,,Comida,https://www.entel.cl/beneficios/descuentos/dominos-pizza
Entel,OAKBERRY,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/oak-berry-1.png,martes,20% dcto. los martes con el Club Entel,10000,2026-09-30,,Comida,https://www.entel.cl/beneficios/descuentos/oakberry
Entel,TPM,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/tpm-bar-1.png,miercoles,20% dcto. los miércoles en toda la carta,40000,2026-07-29,,Comida,https://www.entel.cl/beneficios/descuentos/tpm
Entel,Tarragona,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/tarragona.png,martes,30% dcto. los martes en el total de la boleta,,,,Comida,https://www.entel.cl/beneficios/descuentos/tarragona
Entel,Roof Burger,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/roof-burger.png,lunes;jueves;domingo,25% dcto en el total de tu boleta lunes y jueves,,,,Comida,https://www.entel.cl/beneficios/descuentos/roof-burger
Entel,El Café Rosa,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/cafe-rosa.png,lunes;martes;jueves;domingo,"25% dcto en el total de tu boleta lunes, martes y jueves",,,,Comida,https://www.entel.cl/beneficios/descuentos/cafe-rosa
Entel,Central 55,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/central-55.png,lunes;martes;domingo,"20% dcto. en el total de tu boleta martes, miércoles y domingos",,,,Comida,https://www.entel.cl/beneficios/descuentos/central-55
Entel,Yogurt Life,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/yogurt-life.png,lunes;martes;miercoles,"25% dcto. en el total de tu boleta lunes, martes y miércoles",,,,Comida,https://www.entel.cl/beneficios/descuentos/yogurt-life
Entel,Viña MontGras,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/montgras-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,15% dcto. en enoturimo y 20% dcto. en compras online,,,,Comida,https://www.entel.cl/beneficios/descuentos/vina-montgras
Entel,Club Perros y Gatos,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/club-de-perros-y-gatos-4.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Hasta 15% dcto. en productos marca Club P&G,,,,Mascotas,https://www.entel.cl/beneficios/descuentos/club-de-perros-y-gatos
Entel,Dogin,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/dogin-7.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"20% dcto. en guardería, paseos y alojamiento de mascotas",15000,2026-12-31,,Mascotas,https://www.entel.cl/beneficios/descuentos/dogin
Entel,Super Zoo,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/super-zoo-2.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Hasta 20% Dcto. en Tienda Online,80000,2026-12-31,,Mascotas;Tiendas,https://www.entel.cl/beneficios/descuentos/super-zoo
Entel,Puppies & Kittens,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/puppies&kittens-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Desde 15% de dcto. viernes y domingos con el Club Entel.,,2026-12-31,,Mascotas,https://www.entel.cl/beneficios/descuentos/puppies-and-kittens
Entel,Ópticas Schilling,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/opticas-schilling.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% dcto. en lentes ópticos y de sol,,2026-12-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/opticas-schilling
Entel,The Body Shop,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/the-body-shop-2.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,15% Dcto. en productos The Body Shop,,2026-12-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/bodyshop
Entel,Glam & Co,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/glam-co.png,lunes;martes;miercoles;jueves,20% de descuento de lunes a jueves en salones.,,2026-12-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/glamco
Entel,Clínica Santa María,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/clinica-santa-maria.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% dcto. en el copago de exámenes de laboratorio,,2026-12-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/clinica-santa-maria
Entel,SaveMoney,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/save-money-1.png,lunes,30% dcto. en membresía SaverPlus,,,,Bienestar,https://www.entel.cl/beneficios/descuentos/savemoney
Entel,La Tercera Digital,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/la-tercera.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,40% dcto. suscripción digital,,,,Bienestar,https://www.entel.cl/beneficios/descuentos/la-tercera-digital
Entel,Delex,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/delex-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,$8.500 de descuento en la primera compra,,,,Tiendas,https://www.entel.cl/beneficios/descuentos/delex
Entel,Marathon,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/marathon.png,martes,10% dcto. adicional los martes,,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/marathon
Entel,Bamers,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/bamers.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% de dcto. en web y tienda,,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/bamers
Entel,Nike,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/nike-2.png,martes;jueves;viernes,30% de descuento en colección exclusiva Entel,60000,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/nike
Entel,AkiKB,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/akikb.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,25% dcto. en arriendo de MINIBODEGAS por 3 meses.,,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/akikb
Entel,Librería Nacional,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/libreria-nacional-2.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,15% de descuento en compras online y presencial,,2025-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/libreria-nacional
Entel,Blue Express Copec,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/blue-express-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,25% dcto. En envíos prepagados.,,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/blue-express-copec
Entel,Xtrem,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/xtream.png,miercoles,30% dcto. online en xtrem.cl,,2026-03-15,,Tiendas,https://www.entel.cl/beneficios/descuentos/xtrem
Entel,Black Bubba,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/black-bubba-1.png,martes,15% dcto. en blackbubba.com excepto chaquetas de cuero,,2026-08-04,,Tiendas,https://www.entel.cl/beneficios/descuentos/black-bubba
Entel,Trial,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/trial-1.png,lunes,20% dcto. los lunes en tiendas,,,,Tiendas,https://www.entel.cl/beneficios/descuentos/trial
Entel,Perry Ellis,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/perry-ellis-1.png,lunes,20% dcto. los lunes en tiendas,,,,Tiendas,https://www.entel.cl/beneficios/descuentos/perry-ellis
Entel,Penguin,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/penguin-1.png,lunes,20% dcto. los lunes en tiendas,,,,Tiendas,https://www.entel.cl/beneficios/descuentos/penguin
Entel,Florsheim,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/florsheim-1.png,martes,20% dcto. los martes en tiendas,,,,Tiendas,https://www.entel.cl/beneficios/descuentos/florsheim
Entel,eClass,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/eclass.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,40% dcto. en diplomados eClass Academy,,2026-12-31,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/eclass
Entel,Mut,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/mut-11.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Disfruta de los descuentos de BICIHUB MUT,,2026-02-28,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/mut
