banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Banco Falabella,La patrona,Mall Plaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/6uZcAOqucva9CYbAHaLuLn/136d65c957726b187e18eb07b166081f/DisenÌ_o_sin_tiÌ_tulo-99.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://lapatronal.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-patrona
Banco Falabella,Paris texas,Mallplaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/3mD5Mhjw26vra7RommlYnY/1b827942f1f1119977216de7c2eb1542/Logos_Cards_Sitio_Beneficios_Paris_Texas.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://www.instagram.com/paristexas.scl,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-paris-texas
Banco Falabella,Take a wok,Parque Arauco,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,Take a wok,Mallplaza Oeste,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,Take a wok,Mallplaza Los Dominicos,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,Take a wok,Mallplaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,Take a wok,Mallplaza Tobalaba,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,Take a wok,Vivo Imperio,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,Take a wok,Mallplaza Egaña,,,,https://images.ctfassets.net/p6eyia4djstu/6MyObQyLhLQGrkNZBL6Y7M/e1b7d3e50d1d0b0df03dbf86e6385b18/Logos_Cards_Sitio_Beneficios_Take_a_Wok.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://takeawok.chefcloud.dotsolutions.cl/take-a-wok,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-take-a-wok
Banco Falabella,La sanguchera del barrio,Mall Plaza Egaña,,,,https://images.ctfassets.net/p6eyia4djstu/64o6NAjfWT1NnA41BIK6Yp/d7609a3c2bcd2ff5b54233407dd10dfc/Logos_Cards_Sitio_Beneficios_La_Sanguchera.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lasangucheradelbarrio.cl/cartals/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-sanguchera-del-barrio
Banco Falabella,La sanguchera del barrio,Mercado Bulnes,,,,https://images.ctfassets.net/p6eyia4djstu/64o6NAjfWT1NnA41BIK6Yp/d7609a3c2bcd2ff5b54233407dd10dfc/Logos_Cards_Sitio_Beneficios_La_Sanguchera.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lasangucheradelbarrio.cl/cartals/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-sanguchera-del-barrio
Banco Falabella,La sanguchera del barrio,Vivo Imperio,,,,https://images.ctfassets.net/p6eyia4djstu/64o6NAjfWT1NnA41BIK6Yp/d7609a3c2bcd2ff5b54233407dd10dfc/Logos_Cards_Sitio_Beneficios_La_Sanguchera.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lasangucheradelbarrio.cl/cartals/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-sanguchera-del-barrio
