banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Santander,La Dicha,Alonso de Córdova 4355,Vitacura,,,https://banco.santander.cl/uploads/000/047/478/8ebb2a05-3ab7-484f-931c-e7c15f42897f/original/Logo_LaDicha.jpg,lunes,40% dcto.,,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/la-dicha-4
Santander,Cosecha del Mar,Av. La Dehesa 2035,Lo Barnechea,,,https://banco.santander.cl/uploads/000/047/242/fbf9b8ee-333f-45e1-9935-ac368e3f816c/original/logo_cosecha_del_mar.jpg,viernes,40% dcto.,100000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/cosecha-del-mar-4
Santander,Dominga Nikkei,El Rodeo 12699,Lo Barnechea,,,https://banco.santander.cl/uploads/000/047/104/d8338db3-818b-4a26-a161-da3f26928ca7/original/Logo_nuevo_Dominga.png,viernes,40%. dcto.,40000,2026-09-30,https://dmng.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/dominga-nikkei
Santander,Naoki,Av. Vitacura 3875,Vitacura,,,https://banco.santander.cl/uploads/000/047/006/23276d5c-ef01-40b6-91d5-e73104a76215/original/Logo_Naoki.jpg,miercoles,40%. dcto.,100000,2026-09-30,https://naoki.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/naoki-2
Santander,Caoba Bar,Alonso de Córdova 4156,Vitacura,,,https://banco.santander.cl/uploads/000/046/987/fedc6a64-90c7-4a11-9361-664ef4c626d9/original/Logo_CaobaBar.jpg,lunes,40% dcto.,,2026-09-30,https://caobabar.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/caoba-bar-2
Santander,PF Chang’s,Isidora Goyenechea 2940,Las Condes,,,https://banco.santander.cl/uploads/000/046/992/92486906-a793-4a3e-8f79-472538ccd2e3/original/Logo_PFChangs.jpg,miercoles,40% dcto.,40000,2026-09-30,https://www.pfchangs.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/pfchang
Santander,PF Chang’s,Parque Arauco,Las Condes,,,https://banco.santander.cl/uploads/000/046/992/92486906-a793-4a3e-8f79-472538ccd2e3/original/Logo_PFChangs.jpg,miercoles,40% dcto.,40000,2026-09-30,https://www.pfchangs.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/pfchang
Santander,PF Chang’s,Alto Las Condes,Las Condes,,,https://banco.santander.cl/uploads/000/046/992/92486906-a793-4a3e-8f79-472538ccd2e3/original/Logo_PFChangs.jpg,miercoles,40% dcto.,40000,2026-09-30,https://www.pfchangs.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/pfchang
Santander,La Bifería,Av. Pedro de Valdivia 065,Providencia,,,https://banco.santander.cl/uploads/000/046/501/e15a524c-d62d-4f06-9ec7-b6ac7270e00e/original/Logo_LaBiferia1.jpg,miercoles,40% dcto.,40000,2026-09-30,https://www.labiferia.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/la-biferia-2
Santander,Hijo del Sol,,La Reina,,,https://banco.santander.cl/uploads/000/046/497/2255e557-6b54-4468-9846-cc6b96bd22d6/original/Logo_Hijodelsol1.jpg,miercoles,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/hijo-del-sol-2
Santander,Hijo del Sol,,Las Condes,,,https://banco.santander.cl/uploads/000/046/497/2255e557-6b54-4468-9846-cc6b96bd22d6/original/Logo_Hijodelsol1.jpg,miercoles,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/hijo-del-sol-2
Santander,Hijo del Sol,,Vitacura,,,https://banco.santander.cl/uploads/000/046/497/2255e557-6b54-4468-9846-cc6b96bd22d6/original/Logo_Hijodelsol1.jpg,miercoles,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/hijo-del-sol-2
Santander,Hijo del Sol,,Santiago,,,https://banco.santander.cl/uploads/000/046/497/2255e557-6b54-4468-9846-cc6b96bd22d6/original/Logo_Hijodelsol1.jpg,miercoles,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/hijo-del-sol-2
Santander,Local Burger,,,,,https://banco.santander.cl/uploads/000/046/209/4a4cee41-0e9a-4a32-a2b4-5b3abaf3d0e7/original/logo_localburger.jpg,miercoles,40% dcto.,40000,2026-09-30,https://localburger.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/local-burger-2
